Listado de los ePub:
Abducción Cook, Robin
Desayuno en Tiffany's Capote, Truman
Desde el Exilio Baroja, Pío
Desde mi cielo Sebold, Alice
Deseo Jelinek, Elfriede
Desesperación King, Stephen
Despues del funera Christie, Agatha
Destinos de pasión Roberts, Nora
Destrucción de la mañana Fonollosa, José María
Deuda de honor Clancy, Tom
Devoradores de cadáveres Crichton, Michael
Dexter 01 - El Oscuro Pasajero Lindsay, Jeff
Dexter 02 - Querido Dexter Lindsay, Jeff
Dexter 03 - Dexter en la oscuridad Lindsay, Jeff
Dia de Ira Bond, Larry
Diablo Guardián Velasco, Xavier
Diana o La cazadora solitaria Fuentes, Carlos
Diario Frank, Ana
Diario de un cazador Delibes, Miguel
Diario de un escritor y otros escritos Dostoyevskii, Fiodor M.
Diario de una ninfómana Tasso, Valérie
Días enteros en las ramas Duras, Marguerite
Diccionario del Código Da Vinci Cox, Simon
Didio Falco 01 - La plata de Britania Davis, Lindsey
Didio Falco 02 - La estatua de Bronce Davis, Lindsey
Didio Falco 03 - La venus de cobre Davis, Lindsey
Didio Falco 04 - La mano de hierro de marte Davis, Lindsey
Didio Falco 05 - El oro de Poseidon Davis, Lindsey
Didio Falco 06 - Último acto en Palmira Davis, Lindsey
Didio Falco 07 - Tiempo para escapar Davis, Lindsey
Didio Falco 08 - Una conjura en Hispania Davis, Lindsey
Didio Falco 09 - Tres manos en la fuente Davis, Lindsey
Didio Falco 10 - ¡A los leones! Davis, Lindsey
Didio Falco 11 - Una virgen de más Davis, Lindsey
Didio Falco 12 - Oda a un banquero Davis, Lindsey
Didio Falco 13 - Un cadáver en los baños Davis, Lindsey
Didio Falco 14 - El mito de Jupíter Davis, Lindsey
Didio Falco 15 - Los fiscales Davis, Lindsey
Didio Falco 16 - En busca de infamia Davis, Lindsey
Diez negritos Christie, Agatha
Dime quien soy Navarro, Julia
Dinos como sobrevivir a nuestra locura Oé, Kenzaburo
Dios y la nueva física Davies, Paul
Dioses y hérores de la antigua grecia Graves, Robert
Dioses y Teología de la obra de Lovecraft Lovecraft, H. P.
Discurso de Ingreso en la RAE Delibes, Miguel
Doble cuerpo Gerritsen, Tess
Doc Savage - Huida de Loki Farmer, Philip José
Doc Savage 21 - El mago del mar Robeson, Kenneth
Doc Savage 32 - El inca gris Robeson, Kenneth
Doce Cuentos Peregrinos García Márquez, Gabriel
Dolor Strieber, Whitley
Dolores Clayborne King, Stephen
Donde mueren las olas Walters, Minette
Donde termina el arco iris Ahern, Cecelia
Donosti pincho a pincho Martín, Pedro
Dora Bruder Modiano, Patrick
Dorian Hawkmoon 01 - La joya en la frente Moorcock, Michael
Dorian Hawkmoon 02 - El amuleto del Dios Loco Moorcock, Michael
Dorian Hawkmoon 03 - La espada del amanecer Moorcock, Michael
Dorian Hawkmoon 04 - El baston rúnico Moorcock, Michael
Dorian Hawkmoon 05 - El Conde Braas Moorcock, Michael
Dorian Hawkmoon 06 - El Campeón de Garathorm Moorcock, Michael
Dorian Hawkmoon 07 - En busca de Tanelorn Moorcock, Michael
Dos Botellas Negras Lovecraft, H. P.
Dos mundos frente a frente White, George H
Dos niñas vestidas de azul Higgins Clark, Mary
Dos viajes en automóvil Delibes, Miguel
Dra Brennan 01 - Testigo del silencio Reichs, Kathy
Dra Brennan 02 - La huella del diablo Reichs, Kathy
Dra Brennan 04 - Informe Brennan Reichs, Kathy
Dra Brennan 07 - Lunes de ceniza Reichs, Kathy
Dra Brennan 08 - Tras la huella de Cristo Reichs, Kathy
Dra Scarpetta 01 - Post mortem Cornwell, Patricia D.
Dra Scarpetta 02 - El cuerpo del delito Cornwell, Patricia D.
Dra Scarpetta 03 - La Jota De Corazones Cornwell, Patricia D.
Dra Scarpetta 04 - Cruel Y Extraño Cornwell, Patricia D.
Página 6 de 36
Libros
Nombre Autor
Dra Scarpetta 05 - La Granja De Cuerpos Cornwell, Patricia D.
Dra Scarpetta 07 - Causa De Muerte Cornwell, Patricia D.
Dra Scarpetta 08 - Acecho Virtual Cornwell, Patricia D.
Dra Scarpetta 09 - Punto de partida Cornwell, Patricia D.
Dra Scarpetta 10 - Identidad desconocida Cornwell, Patricia D.
Dra Scarpetta 11 - Último intento Cornwell, Patricia D.
Dra Scarpetta 12 - La mosca de la muerte Cornwell, Patricia D.
Dra Scarpetta 13 - La Huella Cornwell, Patricia D.
Drácula Stoker, Bram
Drácula, el no muerto Stoker, Dacre y Holt, Ian
Dragones Celestiales 01 Goodman, Alison
Dragonlance - Compañeros 01 - Qualinost Dragonlance
Dragonlance - Compañeros 02 - El incorregible Tas Dragonlance
Dragonlance - Compañeros 03 - Kitiara Uth Matar Dragonlance
Dragonlance - Compañeros 04 - El código y la medida Williams, Michael
Dragonlance - Compañeros 05 - Pedernal y acero Porath, Ellen
Dragonlance - Compañeros 06 - Mithas y Karthay Dragonlance
Dragonlance - Cronologia Dragonlance
Dragonlance - Heroes 01 - La leyenda de Huma Dragonlance
Dragonlance - Heroes 02 - Espada de Reyes Dragonlance
Dragonlance - Heroes 03 - El caballero de Solamnia Dragonlance
Dragonlance - Heroes 06 - El caballero Galen Dragonlance
Dragonlance - Historias perdidas 05 - Los enanos Gully Parkinson, Dan
